What is the country of your birth? ,What is the first language in your country?,Age? ,Do you think Voice 1 above is Real or Fake?,What is the reason behind choosing Real/Fake? ,Do you think Voice 2 above is Real or Fake?,What is the reason behind choosing Real/Fake? ,Do you think Voice 3 above is Real or Fake?,What is the reason behind choosing Real/Fake? ,Do you think Voice 4 above is Real or Fake?,What is the reason behind choosing Real/Fake? 
India,Hindi,21 to 25,Real,Because of transition from own language to English.,Real,Consistency of pitch  ,Fake,Looks like computer generated voice,Real,Accent sounds real
India,Tamil,26 to 30,Real,Audio does not sound as AI generated,Fake,Accent seems fake ,Fake,The pitch is elevated,Real,Fluency of the voice pitch.  
Pakistan ,Urdu,26 to 30,Real,Communication of the person looks real,Fake,Sounds like AI narrated ,Fake,Pitch and elevation of voice,Real,I have Asian friends and some of them who are new here speaks like this and this sounds real to me. 
Pakistan,Punjabi,21 to 25,Real,The speech flows naturally without odd pauses or robotic timing.,Real,The voice carries a natural sense of personality that feels lived rather than generated.,Fake,"Some words sound slightly over-pronounced or too “perfect,” as if produced by a model.",Fake,"The emotional expression may feel flat, forced, or inconsistent with the message."
China ,Mandarin,31 to 35,Fake,Pitch and tone may shift abruptly or feel uncanny.,Real,The pitch varies smoothly instead of staying unnaturally stable or overly exaggerated.,Fake,"Subtle mouth noises, plosives, or sibilance sounds artificial.",Real,The transitions between words sound fluid rather than stitched together.
India,Tamil,26 to 30,Real,It sounds natural,Fake,The voice sounds too perfect,Fake,The tone feels robotic,Real,The words flow smoothly
Bangladesh,Bengali,31 to 35,Fake,The pitch is too even,Real,There is a natural rhythm,Fake,It lacks emotion,Fake,Pitch changes feel strange
Pakistan,Urdu,21 to 25,Real,There are small mistakes or hesitations,Fake,The speed is too even,Fake,It sounds AI-generated,Real,The pitch rises and falls naturally
Pakistan,Urdu,31 to 35,Fake,Breath sounds are missing,Real,The pronunciation sounds human,Fake,Background is too quiet or too clean,Real,The speaker sounds relaxed
China,Mandarin,26 to 30,Fake,It feels unnatural when listen closely,Fake,Voice has strange pauses,Fake,The pronunciation feels unreal,Real,The pitch and pronunciation sounds real
Republic of Korea,Korean,26 to 30,Fake,"The voice intonation follows a consistent, patterned flow.",Fake,The speaking speed is similar to what I hear from online news text-to-speech services.,Real,"I can hear some human-like qualities, especially in words that contain a “k” or “s” sound. 
I can feel like a slight hissing.",Real,"It sounds like Korean speech trying to imitate a Japanese accent, which the AI model doesn’t handle very well yet."
Republic of Korea,Korean,26 to 30,Fake,same rhythm in the voice and pronunciation ,Fake,Some words sound fragmented instead of fluid,Fake,same reason as voice 1,Fake,"similar to reason for voice 2, all words sounds fragmented and too consistent"
Republic of Korea,Korean,21 to 25,Fake,"I chose Fake because the voice had unnatural prosody, the breaks between phrases were too even, and the intonation patterns didn’t rise or fall naturally the way human speech does. The rhythm sounded mechanical, with flat pitch changes and predictable pauses, which are common signs of AI-generated speech.",Fake,"I chose Fake because the tone of the voice was too monotone, with very little variation in pitch or emphasis. The intonation stayed flat, and the breaks between phrases sounded unnatural and evenly spaced, which made the speech feel synthetic rather than human.",Fake,"I chose Fake because the breaks between sentences were too short and abrupt, making the speech feel rushed and unnatural. A real speaker typically leaves more natural pauses, but this voice had unnatural pacing.",Fake,"I chose Fake because the voice had almost no breaks between words, making the speech sound blended and unnatural."
South Korea,Korean,26 to 30,Fake,"Does not speak in connected sentences, but instead breaks words apart abruptly.",Real,"The accent resembles English spoken by individuals of Latin descent, and the speaker pauses at meaningful units within sentences, resulting in a delivery that feels similar to natural human speech.",Fake,The intonation is unnatural.,Fake,"There is no variation in intonation, and rather than pausing according to meaningful units, the speech sounds as though it is simply reading the text aloud letter by letter."
Sri Lanka,Sinhala,26 to 30,Fake,Didn't sound like meaningful words for the most part.,Fake,"Even though the accent sounds real, there were awkward pauses",Fake,"The pronunciation of ""good"" was not correct and the pace of speaking also seemed too fast.",Real,"I am actually not sure about this one. Can be real or fake, but I am leaning towards real as I could understand a little bit of what is said."
South Korea,Korean ,26 to 30,Fake,I took a shot. I’m not familiar with this language ,Fake,The intonation is too monotonous ,Fake,It sounds too rehearsed ,Fake,The tone is too flat and forced.
South Korea,South Korea,31 to 35,Fake,So fake ,Fake,Sounds fake,Fake,Fake,Fake,Fake
